KeyId,MyPN,Name,Description,Symbol,Value,Value2,Type,Forward_Voltage,Reverse_Voltage,Breakdown_Voltage,Forward_Current,Reverse_Current,Power_Dissipation,Capacitance,Standoff_Voltage,Clamping_Voltage,Tolerance,Reverse_Recovery_Time,Package,Footprint,Footprint_Filter,Dimensions,Height,Termination,Anode_Marking,Cathode_Marking,Min_Temp,Max_Temp,Operating_Temp,Mount,Reflow_Profile,MSL_Rating,Datasheet,RoHS_Compliant,REACH_Compliant,Halogen_Free,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
,EL-DIO-000047,1N5822_D_SCHOTKY_40V_3A_DO27,Schottky Diode 40V 3A DO-27,MyLib_Diode:D,1N5822,,Schottky,0.525V @ 3A,40V,,3A,1.0mA @ 40V,3W,,,,,,DO-27,MyLib_Diode_THT:D_DO-201AD,DO-27,9.5mm x 5.2mm,Standard,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00047,Semiconductors,Diodes,120,50,240,BIN-1,piece,,0.068,USD,2024-01-15,0.068,LCSC,1,,"Schottky,THT,DO-27,3A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000048,MBR0520_D_SCHOTKY_20V_500MA_SOD123,Schottky Diode 20V 500mA SOD-123,MyLib_Diode:D_Schottky,MBR0520,,Schottky,0.37V @ 500mA,20V,,500mA,0.05mA @ 20V,0.5W,,,,,,SOD-123,MyLib_Diode_SMD:D_SOD-123,SOD-123,3.68mm x 1.52mm,1.22mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00048,Semiconductors,Diodes,200,50,400,BIN-1,piece,3000,0.025,USD,2024-01-15,0.025,LCSC,1,,"Schottky,SMD,SOD-123,500mA",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000049,MBR0530_D_SCHOTKY_30V_500MA_SOD123,Schottky Diode 30V 500mA SOD-123,MyLib_Diode:D_Schottky,MBR0530,,Schottky,0.38V @ 500mA,30V,,500mA,0.05mA @ 30V,0.5W,,,,,,SOD-123,MyLib_Diode_SMD:D_SOD-123,SOD-123,3.68mm x 1.52mm,1.22mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00049,Semiconductors,Diodes,200,50,400,BIN-1,piece,3000,0.026,USD,2024-01-15,0.026,LCSC,1,,"Schottky,SMD,SOD-123,500mA",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000050,MBR0540_D_SCHOTKY_40V_500MA_SOD123,Schottky Diode 40V 500mA SOD-123,MyLib_Diode:D_Schottky,MBR0540,,Schottky,0.39V @ 500mA,40V,,500mA,0.05mA @ 40V,0.5W,,,,,,SOD-123,MyLib_Diode_SMD:D_SOD-123,SOD-123,3.68mm x 1.52mm,1.22mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00050,Semiconductors,Diodes,200,50,400,BIN-1,piece,3000,0.027,USD,2024-01-15,0.027,LCSC,1,,"Schottky,SMD,SOD-123,500mA",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000060,SS12_D_SCHOTKY_20V_1A_SMB,Schottky Diode 20V 1A SMB,MyLib_Diode:D_Schottky,SS12,,Schottky,0.45V @ 1A,20V,,1A,0.5mA @ 20V,1W,,,,,,SMB,MyLib_Diode_SMD:D_SMB,SMB,6.6mm x 3.5mm,3.5mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00060,Semiconductors,Diodes,180,50,360,BIN-1,piece,1000,0.042,USD,2024-01-15,0.042,LCSC,1,,"Schottky,SMD,SMB,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000061,SS14_D_SCHOTKY_40V_1A_SMB,Schottky Diode 40V 1A SMB,MyLib_Diode:D_Schottky,SS14,,Schottky,0.5V @ 1A,40V,,1A,0.5mA @ 40V,1W,,,,,,SMB,MyLib_Diode_SMD:D_SMB,SMB,6.6mm x 3.5mm,3.5mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00061,Semiconductors,Diodes,200,50,400,BIN-1,piece,1000,0.045,USD,2024-01-15,0.045,LCSC,1,,"Schottky,SMD,SMB,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000062,SS15_D_SCHOTKY_50V_1A_SMB,Schottky Diode 50V 1A SMB,MyLib_Diode:D_Schottky,SS15,,Schottky,0.55V @ 1A,50V,,1A,0.5mA @ 50V,1W,,,,,,SMB,MyLib_Diode_SMD:D_SMB,SMB,6.6mm x 3.5mm,3.5mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00062,Semiconductors,Diodes,180,50,360,BIN-1,piece,1000,0.046,USD,2024-01-15,0.046,LCSC,1,,"Schottky,SMD,SMB,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000063,SS16_D_SCHOTKY_60V_1A_SMB,Schottky Diode 60V 1A SMB,MyLib_Diode:D_Schottky,SS16,,Schottky,0.6V @ 1A,60V,,1A,0.5mA @ 60V,1W,,,,,,SMB,MyLib_Diode_SMD:D_SMB,SMB,6.6mm x 3.5mm,3.5mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00063,Semiconductors,Diodes,160,50,320,BIN-1,piece,1000,0.048,USD,2024-01-15,0.048,LCSC,1,,"Schottky,SMD,SMB,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000064,SS110_D_SCHOTKY_100V_1A_SMB,Schottky Diode 100V 1A SMB,MyLib_Diode:D_Schottky,SS110,,Schottky,0.7V @ 1A,100V,,1A,0.1mA @ 100V,1W,,,,,,SMB,MyLib_Diode_SMD:D_SMB,SMB,6.6mm x 3.5mm,3.5mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00064,Semiconductors,Diodes,150,50,300,BIN-1,piece,1000,0.055,USD,2024-01-15,0.055,LCSC,1,,"Schottky,SMD,SMB,1A,100V",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000065,SS24_D_SCHOTKY_40V_2A_SMB,Schottky Diode 40V 2A SMB,MyLib_Diode:D_Schottky,SS24,,Schottky,0.5V @ 2A,40V,,2A,0.5mA @ 40V,2W,,,,,,SMB,MyLib_Diode_SMD:D_SMB,SMB,6.6mm x 3.5mm,3.5mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00065,Semiconductors,Diodes,150,50,300,BIN-1,piece,1000,0.055,USD,2024-01-15,0.055,LCSC,1,,"Schottky,SMD,SMB,2A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000066,SS26_D_SCHOTKY_60V_2A_SMB,Schottky Diode 60V 2A SMB,MyLib_Diode:D_Schottky,SS26,,Schottky,0.6V @ 2A,60V,,2A,0.5mA @ 60V,2W,,,,,,SMB,MyLib_Diode_SMD:D_SMB,SMB,6.6mm x 3.5mm,3.5mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00066,Semiconductors,Diodes,140,50,280,BIN-1,piece,1000,0.058,USD,2024-01-15,0.058,LCSC,1,,"Schottky,SMD,SMB,2A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000067,SS210_D_SCHOTKY_100V_2A_SMB,Schottky Diode 100V 2A SMB,MyLib_Diode:D_Schottky,SS210,,Schottky,0.75V @ 2A,100V,,2A,0.1mA @ 100V,2W,,,,,,SMB,MyLib_Diode_SMD:D_SMB,SMB,6.6mm x 3.5mm,3.5mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00067,Semiconductors,Diodes,130,50,260,BIN-1,piece,1000,0.065,USD,2024-01-15,0.065,LCSC,1,,"Schottky,SMD,SMB,2A,100V",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000068,SS34_D_SCHOTKY_40V_3A_SMC,Schottky Diode 40V 3A SMC,MyLib_Diode:D_Schottky,SS34,,Schottky,0.5V @ 3A,40V,,3A,0.5mA @ 40V,3W,,,,,,SMC,MyLib_Diode_SMD:D_SMC,SMC,7.9mm x 5.9mm,5.9mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00068,Semiconductors,Diodes,120,50,240,BIN-1,piece,500,0.080,USD,2024-01-15,0.080,LCSC,1,,"Schottky,SMD,SMC,3A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000069,SS36_D_SCHOTKY_60V_3A_SMC,Schottky Diode 60V 3A SMC,MyLib_Diode:D_Schottky,SS36,,Schottky,0.6V @ 3A,60V,,3A,0.5mA @ 60V,3W,,,,,,SMC,MyLib_Diode_SMD:D_SMC,SMC,7.9mm x 5.9mm,5.9mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00069,Semiconductors,Diodes,110,50,220,BIN-1,piece,500,0.083,USD,2024-01-15,0.083,LCSC,1,,"Schottky,SMD,SMC,3A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000070,SS310_D_SCHOTKY_100V_3A_SMC,Schottky Diode 100V 3A SMC,MyLib_Diode:D_Schottky,SS310,,Schottky,0.8V @ 3A,100V,,3A,0.1mA @ 100V,3W,,,,,,SMC,MyLib_Diode_SMD:D_SMC,SMC,7.9mm x 5.9mm,5.9mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00070,Semiconductors,Diodes,100,50,200,BIN-1,piece,500,0.090,USD,2024-01-15,0.090,LCSC,1,,"Schottky,SMD,SMC,3A,100V",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000071,SS315_D_SCHOTKY_150V_3A_SMC,Schottky Diode 150V 3A SMC,MyLib_Diode:D_Schottky,SS315,,Schottky,0.9V @ 3A,150V,,3A,0.05mA @ 150V,3W,,,,,,SMC,MyLib_Diode_SMD:D_SMC,SMC,7.9mm x 5.9mm,5.9mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00071,Semiconductors,Diodes,90,25,180,BIN-1,piece,500,0.095,USD,2024-01-15,0.095,LCSC,1,,"Schottky,SMD,SMC,3A,150V",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000072,SS54_D_SCHOTKY_40V_5A_SMC,Schottky Diode 40V 5A SMC,MyLib_Diode:D_Schottky,SS54,,Schottky,0.55V @ 5A,40V,,5A,1.0mA @ 40V,5W,,,,,,SMC,MyLib_Diode_SMD:D_SMC,SMC,7.9mm x 5.9mm,5.9mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00072,Semiconductors,Diodes,80,25,160,BIN-1,piece,500,0.110,USD,2024-01-15,0.110,LCSC,1,,"Schottky,SMD,SMC,5A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000073,SS56_D_SCHOTKY_60V_5A_SMC,Schottky Diode 60V 5A SMC,MyLib_Diode:D_Schottky,SS56,,Schottky,0.6V @ 5A,60V,,5A,1.0mA @ 60V,5W,,,,,,SMC,MyLib_Diode_SMD:D_SMC,SMC,7.9mm x 5.9mm,5.9mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00073,Semiconductors,Diodes,75,25,150,BIN-1,piece,500,0.115,USD,2024-01-15,0.115,LCSC,1,,"Schottky,SMD,SMC,5A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000074,SS510_D_SCHOTKY_100V_5A_SMC,Schottky Diode 100V 5A SMC,MyLib_Diode:D_Schottky,SS510,,Schottky,0.85V @ 5A,100V,,5A,0.1mA @ 100V,5W,,,,,,SMC,MyLib_Diode_SMD:D_SMC,SMC,7.9mm x 5.9mm,5.9mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00074,Semiconductors,Diodes,70,25,140,BIN-1,piece,500,0.125,USD,2024-01-15,0.125,LCSC,1,,"Schottky,SMD,SMC,5A,100V",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000075,SS515_D_SCHOTKY_150V_5A_SMC,Schottky Diode 150V 5A SMC,MyLib_Diode:D_Schottky,SS515,,Schottky,0.95V @ 5A,150V,,5A,0.05mA @ 150V,5W,,,,,,SMC,MyLib_Diode_SMD:D_SMC,SMC,7.9mm x 5.9mm,5.9mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00075,Semiconductors,Diodes,60,25,120,BIN-1,piece,500,0.130,USD,2024-01-15,0.130,LCSC,1,,"Schottky,SMD,SMC,5A,150V",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000076,SS520_D_SCHOTKY_200V_5A_SMC,Schottky Diode 200V 5A SMC,MyLib_Diode:D_Schottky,SS520,,Schottky,1.0V @ 5A,200V,,5A,0.05mA @ 200V,5W,,,,,,SMC,MyLib_Diode_SMD:D_SMC,SMC,7.9mm x 5.9mm,5.9mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00076,Semiconductors,Diodes,50,25,100,BIN-1,piece,500,0.140,USD,2024-01-15,0.140,LCSC,1,,"Schottky,SMD,SMC,5A,200V",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000080,BAT54_D_SCHOTKY_30V_200MA_SOT23,Schottky Diode Single 30V 200mA,MyLib_Diode:D,BAT54,,Schottky,0.32V @ 1mA,30V,,200mA,,,,,,,,SOT-23,MyLib_Diode_SMD:D_SOT-23,SOT-23,2.9mm x 1.6mm,1.1mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00080,Semiconductors,Diodes,400,50,800,BIN-1,piece,3000,0.025,USD,2024-01-15,0.025,LCSC,1,,"Schottky,SMD,SOT-23",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000081,BAT54S_D_SCHOTKY_DUAL_SERIES_30V_SOT23,Dual Schottky Diode Series 30V,,BAT54S,,Schottky,0.32V @ 1mA,30V,,200mA,,,,,,,,SOT-23,MyLib_Diode_SMD:D_SOT-23,SOT-23,2.9mm x 1.6mm,1.1mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00081,Semiconductors,Diodes,350,50,700,BIN-1,piece,3000,0.030,USD,2024-01-15,0.030,LCSC,1,,"Schottky,SMD,SOT-23,Dual",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000082,BAT54C_D_SCHOTKY_DUAL_COMMON_30V_SOT23,Dual Schottky Diode Common Cathode 30V,,BAT54C,,Schottky,0.32V @ 1mA,30V,,200mA,,,,,,,,SOT-23,MyLib_Diode_SMD:D_SOT-23,SOT-23,2.9mm x 1.6mm,1.1mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00082,Semiconductors,Diodes,350,50,700,BIN-1,piece,3000,0.030,USD,2024-01-15,0.030,LCSC,1,,"Schottky,SMD,SOT-23,Dual",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000083,BAT54A_D_SCHOTKY_SINGLE_30V_SOD323,Schottky Diode 30V 200mA SOD-323,,BAT54A,,Schottky,0.32V @ 1mA,30V,,200mA,,,,,,,,SOD-323,MyLib_Diode_SMD:D_SOD-323,SOD-323,2.5mm x 1.3mm,1.1mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00083,Semiconductors,Diodes,300,50,600,BIN-1,piece,3000,0.022,USD,2024-01-15,0.022,LCSC,1,,"Schottky,SMD,SOD-323",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000084,BAT54W_D_SCHOTKY_SINGLE_30V_SC70,Schottky Diode 30V 200mA SC-70,MyLib_Diode:D,BAT54W,,Schottky,0.32V @ 1mA,30V,,200mA,,,,,,,,SC-70,MyLib_Diode_SMD:D_SOT-323,SC-70,2.0mm x 1.25mm,Standard,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00084,Semiconductors,Diodes,250,50,500,BIN-1,piece,3000,0.028,USD,2024-01-15,0.028,LCSC,1,,"Schottky,SMD,SC-70",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000085,BAT54C_W_SCHOTKY_DUAL_COMMON_30V_SC70,Dual Schottky Diode Common Cathode 30V SC-70,,BAT54C,,Schottky,0.32V @ 1mA,30V,,200mA,,,,,,,,SC-70,MyLib_Diode_SMD:D_SOT-323,SC-70,2.0mm x 1.25mm,Standard,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00085,Semiconductors,Diodes,200,50,400,BIN-1,piece,3000,0.032,USD,2024-01-15,0.032,LCSC,1,,"Schottky,SMD,SC-70,Dual",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000086,BAT54S_W_SCHOTKY_DUAL_SERIES_30V_SC70,Dual Schottky Diode Series 30V SC-70,,BAT54S,,Schottky,0.32V @ 1mA,30V,,200mA,,,,,,,,SC-70,MyLib_Diode_SMD:D_SOT-323,SC-70,2.0mm x 1.25mm,Standard,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00086,Semiconductors,Diodes,200,50,400,BIN-1,piece,3000,0.032,USD,2024-01-15,0.032,LCSC,1,,"Schottky,SMD,SC-70,Dual",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000090,BAV99_D_SWITCH_DUAL_SOT23,Dual Switching Diode SOT-23,,BAV99,,Switching,0.715V @ 10mA,70V,,250mA,,,2pF @ 0V,,,,,SOT-23,MyLib_Diode_SMD:D_SOT-23,SOT-23,2.9mm x 1.6mm,1.1mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00090,Semiconductors,Diodes,300,50,600,BIN-1,piece,3000,0.025,USD,2024-01-15,0.025,LCSC,1,,"Switching,SMD,SOT-23,Dual",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000091,BAV99_D_SWITCH_DUAL_SOD323,Dual Switching Diode SOD-323,,BAV99,,Switching,0.715V @ 10mA,70V,,250mA,,,2pF @ 0V,,,,,SOD-323,MyLib_Diode_SMD:D_SOD-323,SOD-323,2.5mm x 1.3mm,1.1mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00091,Semiconductors,Diodes,250,50,500,BIN-1,piece,3000,0.028,USD,2024-01-15,0.028,LCSC,1,,"Switching,SMD,SOD-323,Dual",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000092,BAV99_D_SWITCH_DUAL_SC70,Dual Switching Diode SC-70,,BAV99,,Switching,0.715V @ 10mA,70V,,250mA,,,2pF @ 0V,,,,,SC-70,MyLib_Diode_SMD:D_SOT-323,SC-70,2.0mm x 1.25mm,Standard,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00092,Semiconductors,Diodes,200,50,400,BIN-1,piece,3000,0.030,USD,2024-01-15,0.030,LCSC,1,,"Switching,SMD,SC-70,Dual",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000093,BAV70_D_SWITCH_DUAL_SOT23,Dual Switching Diode SOT-23,,BAV70,,Switching,0.715V @ 10mA,70V,,250mA,,,2pF @ 0V,,,,,SOT-23,MyLib_Diode_SMD:D_SOT-23,SOT-23,2.9mm x 1.6mm,1.1mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00093,Semiconductors,Diodes,280,50,560,BIN-1,piece,3000,0.026,USD,2024-01-15,0.026,LCSC,1,,"Switching,SMD,SOT-23,Dual",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000094,BAV70_D_SWITCH_DUAL_SOD323,Dual Switching Diode SOD-323,,BAV70,,Switching,0.715V @ 10mA,70V,,250mA,,,2pF @ 0V,,,,,SOD-323,MyLib_Diode_SMD:D_SOD-323,SOD-323,2.5mm x 1.3mm,1.1mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00094,Semiconductors,Diodes,230,50,460,BIN-1,piece,3000,0.029,USD,2024-01-15,0.029,LCSC,1,,"Switching,SMD,SOD-323,Dual",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000095,BAV21_D_SWITCH_250V_200MA_SOD123,Switching Diode 250V 200mA,MyLib_Diode:D,BAV21,,Switching,1.0V @ 10mA,250V,,200mA,,,4pF @ 0V,,,,,SOD-123,MyLib_Diode_SMD:D_SOD-123,SOD-123,3.68mm x 1.52mm,1.22mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00095,Semiconductors,Diodes,150,50,300,BIN-1,piece,3000,0.035,USD,2024-01-15,0.035,LCSC,1,,"Switching,SMD,SOD-123,High Voltage",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000096,BAV21_D_SWITCH_250V_200MA_DO35,Switching Diode 250V 200mA,MyLib_Diode:D,BAV21,,Switching,1.0V @ 10mA,250V,,200mA,,,4pF @ 0V,,,,,DO-35,MyLib_Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,DO-35,4.1mm x 2.0mm,2.0mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00096,Semiconductors,Diodes,120,50,240,BIN-1,piece,,0.030,USD,2024-01-15,0.030,LCSC,1,,"Switching,THT,DO-35,High Voltage",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000097,BAV23_D_SWITCH_300V_200MA_SOD123,Switching Diode 300V 200mA,MyLib_Diode:D,BAV23,,Switching,1.0V @ 10mA,300V,,200mA,,,4pF @ 0V,,,,,SOD-123,MyLib_Diode_SMD:D_SOD-123,SOD-123,3.68mm x 1.52mm,1.22mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00097,Semiconductors,Diodes,140,50,280,BIN-1,piece,3000,0.038,USD,2024-01-15,0.038,LCSC,1,,"Switching,SMD,SOD-123,High Voltage",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000098,BAV23_D_SWITCH_300V_200MA_DO35,Switching Diode 300V 200mA,MyLib_Diode:D,BAV23,,Switching,1.0V @ 10mA,300V,,200mA,,,4pF @ 0V,,,,,DO-35,MyLib_Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,DO-35,4.1mm x 2.0mm,2.0mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00098,Semiconductors,Diodes,110,50,220,BIN-1,piece,,0.032,USD,2024-01-15,0.032,LCSC,1,,"Switching,THT,DO-35,High Voltage",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000099,BAV17_D_SWITCH_100V_250MA_SOD123,Switching Diode 100V 250mA,MyLib_Diode:D,BAV17,,Switching,0.715V @ 10mA,100V,,250mA,,,2pF @ 0V,,,,,SOD-123,MyLib_Diode_SMD:D_SOD-123,SOD-123,3.68mm x 1.52mm,1.22mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C100000,,,,,,,,,DIO-00099,Semiconductors,Diodes,180,50,360,BIN-1,piece,3000,0.028,USD,2024-01-15,0.028,LCSC,1,,"Switching,SMD,SOD-123",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-00100,BAV17_D_SWITCH_100V_250MA_DO35,Switching Diode 100V 250mA,MyLib_Diode:D,BAV17,,Switching,0.715V @ 10mA,100V,,250mA,,,2pF @ 0V,,,,,DO-35,MyLib_Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,DO-35,4.1mm x 2.0mm,2.0mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,Nexperia,,,C110000,,,,,,,,,DIO-0100,Semiconductors,Diodes,150,50,300,BIN-1,piece,,0.025,USD,2024-01-15,0.025,LCSC,1,,"Switching,THT,DO-35",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-00101,BAV19_D_SWITCH_350V_200MA_SOD123,Switching Diode 350V 200mA,MyLib_Diode:D,BAV19,,Switching,1.0V @ 10mA,350V,,200mA,,,4pF @ 0V,,,,,SOD-123,MyLib_Diode_SMD:D_SOD-123,SOD-123,3.68mm x 1.52mm,1.22mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Nexperia,,,C110000,,,,,,,,,DIO-0101,Semiconductors,Diodes,130,50,260,BIN-1,piece,3000,0.040,USD,2024-01-15,0.040,LCSC,1,,"Switching,SMD,SOD-123,High Voltage",System,2026-01-31 22:30:22,,,,0,0
