Keyld,MyPN,Name,Description,Value,Value 2,Symbol,Footprint,Footprint_Filter,Package,Manufacturer,Manufacturer_PN,Series,Category,Subcategory,Connector_Type,Family,Standard,Mounting_Type,Mounting_Style,Orientation,Gender,Shielded,Shield_Material,Shield_Plating,Pins_Total,Pins_Configuration,Rows,Contact_Type,Contact_Arrangement,Pitch_mm,Row_Spacing_mm,Length_mm,Width_mm,Height_mm,Mating_Height_mm,PCB_Mounting_Dimensions,Current_Rating_A,Current_Rating_Total_A,Voltage_Rating_V,Contact_Resistance_mOhm,Insulation_Resistance_MOhm,Dielectric_Withstanding_Voltage_V,Impedance_Ohm,Frequency_Max_Hz,Contact_Material,Contact_Plating,Plating_Thickness_um,Contact_Finish,Housing_Material,Housing_Color,Insulator_Material,Insulator_Color,Locking_Mechanism,Polarization,Mating_Cycles,Insertion_Force_N,Withdrawal_Force_N,Operating_Temp_Min_C,Operating_Temp_Max_C,Storage_Temp_Min_C,Storage_Temp_Max_C,IP_Rating,Moisture_Sensitivity_Level,RoHS_Compliant,REACH_Compliant,UL_Certified,UL_File_Number,CSA_Certified,TUV_Certified,Flammability_Rating,Solder_Type,Solder_Temperature_C,Solder_Process,Cleaning_Process,PCB_Retention,Pick_and_Place,Tape_and_Reel,Cable_Type,Cable_Diameter_Max_mm,Wire_Gauge_AWG,Wire_Strip_Length_mm,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,Farnell_URL,Newark_PN,Newark_URL,RS_PN,RS_URL,StockQty,Min_Stock,Max_Stock,StockPlace,Price,Currency,MOQ,Packaging,Datasheet,Drawing_2D,Drawing_3D,PCB_Layout_Suggestion,Application_Note,Assembly_Instructions,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
25,EL-CON_830025,CON_DSUB_DE9_9P_SD_F_V,"D-SUB DE9 9-pin Standard Female connector, vertical orientation, Through Hole, 5.0A, 250V",,,Connector:DE9_9_Socket,Connector_Dsub:DSUB-15_Socket_Vertical_P2.77x2.84mm,*DSUB*9*,Through Hole,DSUB-15,Socket_Vertical_P2.77x2.84mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Vertical,Female,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,female",script,2026-02-17 07:17:46,,,1.0,0,0
26,EL-CON_830026,CON_DSUB_DE9_9P_SD_F_V,"D-SUB DE9 9-pin Standard Female connector, vertical orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Socket,Connector_Dsub:DSUB-15_Socket_Vertical_P2.77x2.84mm_MountingHoles,*DSUB*9*,Through Hole,DSUB-15,Socket_Vertical_P2.77x2.84mm_MountingHoles,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Vertical,Female,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,female",script,2026-02-17 07:17:46,,,1.0,0,0
27,EL-CON_830027,CON_DSUB_DE9_9P_SD_M_RA,"D-SUB DE9 9-pin Standard Male connector, horizontal orientation, Through Hole, 5.0A, 250V",,,Connector:DE9_9_Pins,Connector_Dsub:DSUB-25_Pins_EdgeMount_P2.77mm,*DSUB*9*,Through Hole,DSUB-25,Pins_EdgeMount_P2.77mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Horizontal,Male,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,male",script,2026-02-17 07:17:46,,,1.0,0,0
28,EL-CON_830028,CON_DSUB_DE9_9P_SD_M_RA,"D-SUB DE9 9-pin Standard Male connector, right angle orientation, Through Hole, 5.0A, 250V",,,Connector:DE9_9_Pins,Connector_Dsub:DSUB-25_Pins_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm,*DSUB*9*,Through Hole,DSUB-25,Pins_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Male,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,male",script,2026-02-17 07:17:46,,,1.0,0,0
29,EL-CON_830029,CON_DSUB_DE9_9P_SD_M_RA,"D-SUB DE9 9-pin Standard Male connector, right angle orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Pins,Connector_Dsub:DSUB-25_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset14.56mm_Housed_MountingHolesOffset15.98mm,*DSUB*9*,Through Hole,DSUB-25,Pins_Horizontal_P2.77x2.84mm_EdgePinOffset14.56mm_Housed_MountingHolesOffset15.98mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Male,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,male",script,2026-02-17 07:17:46,,,1.0,0,0
30,EL-CON_830030,CON_DSUB_DE9_9P_SD_M_RA,"D-SUB DE9 9-pin Standard Male connector, right angle orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Pins,Connector_Dsub:DSUB-25_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset14.56mm_Housed_MountingHolesOffset8.20mm,*DSUB*9*,Through Hole,DSUB-25,Pins_Horizontal_P2.77x2.84mm_EdgePinOffset14.56mm_Housed_MountingHolesOffset8.20mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Male,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,male",script,2026-02-17 07:17:46,,,1.0,0,0
31,EL-CON_830031,CON_DSUB_DE9_9P_SD_M_RA,"D-SUB DE9 9-pin Standard Male connector, right angle orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Pins,Connector_Dsub:DSUB-25_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,*DSUB*9*,Through Hole,DSUB-25,Pins_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Male,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,male",script,2026-02-17 07:17:46,,,1.0,0,0
32,EL-CON_830032,CON_DSUB_DE9_9P_SD_M_RA,"D-SUB DE9 9-pin Standard Male connector, right angle orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Pins,Connector_Dsub:DSUB-25_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,*DSUB*9*,Through Hole,DSUB-25,Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Male,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,male",script,2026-02-17 07:17:46,,,1.0,0,0
33,EL-CON_830033,CON_DSUB_DE9_9P_SD_M_RA,"D-SUB DE9 9-pin Standard Male connector, right angle orientation, Through Hole, 5.0A, 250V",,,Connector:DE9_9_Pins,Connector_Dsub:DSUB-25_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm,*DSUB*9*,Through Hole,DSUB-25,Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Male,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,male",script,2026-02-17 07:17:46,,,1.0,0,0
34,EL-CON_830034,CON_DSUB_DE9_9P_SD_M_RA,"D-SUB DE9 9-pin Standard Male connector, right angle orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Pins,Connector_Dsub:DSUB-25_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm,*DSUB*9*,Through Hole,DSUB-25,Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Male,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,male",script,2026-02-17 07:17:46,,,1.0,0,0
35,EL-CON_830035,CON_DSUB_DE9_9P_SD_M_V,"D-SUB DE9 9-pin Standard Male connector, vertical orientation, Through Hole, 5.0A, 250V",,,Connector:DE9_9_Pins,Connector_Dsub:DSUB-25_Pins_Vertical_P2.77x2.84mm,*DSUB*9*,Through Hole,DSUB-25,Pins_Vertical_P2.77x2.84mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Vertical,Male,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,male",script,2026-02-17 07:17:46,,,1.0,0,0
36,EL-CON_830036,CON_DSUB_DE9_9P_SD_M_V,"D-SUB DE9 9-pin Standard Male connector, vertical orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Pins,Connector_Dsub:DSUB-25_Pins_Vertical_P2.77x2.84mm_MountingHoles,*DSUB*9*,Through Hole,DSUB-25,Pins_Vertical_P2.77x2.84mm_MountingHoles,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Vertical,Male,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,male",script,2026-02-17 07:17:46,,,1.0,0,0
37,EL-CON_830037,CON_DSUB_DE9_9P_SD_F_RA,"D-SUB DE9 9-pin Standard Female connector, horizontal orientation, Through Hole, 5.0A, 250V",,,Connector:DE9_9_Socket,Connector_Dsub:DSUB-25_Socket_EdgeMount_P2.77mm,*DSUB*9*,Through Hole,DSUB-25,Socket_EdgeMount_P2.77mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Horizontal,Female,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,female",script,2026-02-17 07:17:46,,,1.0,0,0
38,EL-CON_830038,CON_DSUB_DE9_9P_SD_F_RA,"D-SUB DE9 9-pin Standard Female connector, right angle orientation, Through Hole, 5.0A, 250V",,,Connector:DE9_9_Socket,Connector_Dsub:DSUB-25_Socket_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm,*DSUB*9*,Through Hole,DSUB-25,Socket_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Female,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,female",script,2026-02-17 07:17:46,,,1.0,0,0
39,EL-CON_830039,CON_DSUB_DE9_9P_SD_F_RA,"D-SUB DE9 9-pin Standard Female connector, right angle orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Socket,Connector_Dsub:DSUB-25_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset14.56mm_Housed_MountingHolesOffset15.98mm,*DSUB*9*,Through Hole,DSUB-25,Socket_Horizontal_P2.77x2.84mm_EdgePinOffset14.56mm_Housed_MountingHolesOffset15.98mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Female,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,female",script,2026-02-17 07:17:46,,,1.0,0,0
40,EL-CON_830040,CON_DSUB_DE9_9P_SD_F_RA,"D-SUB DE9 9-pin Standard Female connector, right angle orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Socket,Connector_Dsub:DSUB-25_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset14.56mm_Housed_MountingHolesOffset8.20mm,*DSUB*9*,Through Hole,DSUB-25,Socket_Horizontal_P2.77x2.84mm_EdgePinOffset14.56mm_Housed_MountingHolesOffset8.20mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Female,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,female",script,2026-02-17 07:17:46,,,1.0,0,0
41,EL-CON_830041,CON_DSUB_DE9_9P_SD_F_RA,"D-SUB DE9 9-pin Standard Female connector, right angle orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Socket,Connector_Dsub:DSUB-25_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,*DSUB*9*,Through Hole,DSUB-25,Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Female,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,female",script,2026-02-17 07:17:46,,,1.0,0,0
42,EL-CON_830042,CON_DSUB_DE9_9P_SD_F_RA,"D-SUB DE9 9-pin Standard Female connector, right angle orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Socket,Connector_Dsub:DSUB-25_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,*DSUB*9*,Through Hole,DSUB-25,Socket_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Female,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,female",script,2026-02-17 07:17:46,,,1.0,0,0
43,EL-CON_830043,CON_DSUB_DE9_9P_SD_F_RA,"D-SUB DE9 9-pin Standard Female connector, right angle orientation, Through Hole, 5.0A, 250V",,,Connector:DE9_9_Socket,Connector_Dsub:DSUB-25_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm,*DSUB*9*,Through Hole,DSUB-25,Socket_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Female,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,female",script,2026-02-17 07:17:46,,,1.0,0,0
44,EL-CON_830044,CON_DSUB_DE9_9P_SD_F_RA,"D-SUB DE9 9-pin Standard Female connector, right angle orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Socket,Connector_Dsub:DSUB-25_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm,*DSUB*9*,Through Hole,DSUB-25,Socket_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Female,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,female",script,2026-02-17 07:17:46,,,1.0,0,0
45,EL-CON_830045,CON_DSUB_DE9_9P_SD_F_V,"D-SUB DE9 9-pin Standard Female connector, vertical orientation, Through Hole, 5.0A, 250V",,,Connector:DE9_9_Socket,Connector_Dsub:DSUB-25_Socket_Vertical_P2.77x2.84mm,*DSUB*9*,Through Hole,DSUB-25,Socket_Vertical_P2.77x2.84mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Vertical,Female,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,female",script,2026-02-17 07:17:46,,,1.0,0,0
46,EL-CON_830046,CON_DSUB_DE9_9P_SD_F_V,"D-SUB DE9 9-pin Standard Female connector, vertical orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Socket,Connector_Dsub:DSUB-25_Socket_Vertical_P2.77x2.84mm_MountingHoles,*DSUB*9*,Through Hole,DSUB-25,Socket_Vertical_P2.77x2.84mm_MountingHoles,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Vertical,Female,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,female",script,2026-02-17 07:17:46,,,1.0,0,0
47,EL-CON_830047,CON_DSUB_DE9_9P_SD_M_RA,"D-SUB DE9 9-pin Standard Male connector, right angle orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Pins,Connector_Dsub:DSUB-26-HD_Pins_Horizontal_P2.29x1.90mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,*DSUB*9*,Through Hole,DSUB-26-HD,Pins_Horizontal_P2.29x1.90mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Male,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,male",script,2026-02-17 07:17:46,,,1.0,0,0
48,EL-CON_830048,CON_DSUB_DE9_9P_SD_M_RA,"D-SUB DE9 9-pin Standard Male connector, right angle orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Pins,Connector_Dsub:DSUB-26-HD_Pins_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,*DSUB*9*,Through Hole,DSUB-26-HD,Pins_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Right Angle,Male,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,male",script,2026-02-17 07:17:46,,,1.0,0,0
49,EL-CON_830049,CON_DSUB_DE9_9P_SD_M_V,"D-SUB DE9 9-pin Standard Male connector, vertical orientation, Through Hole, with mounting holes, 5.0A, 250V",,,Connector:DE9_9_Pins,Connector_Dsub:DSUB-26-HD_Pins_Vertical_P2.29x1.98mm_MountingHoles,*DSUB*9*,Through Hole,DSUB-26-HD,Pins_Vertical_P2.29x1.98mm_MountingHoles,D-SUB Series,D-SUB Connector,D-SUB DE9,D-SUB,DE9,MIL-DTL-24308,PCB,Through Hole,Vertical,Male,1,Steel,Tin,9,9P,2,Machined,,2.77,2.84,,,,,,5.0,,250.0,10.0,5000.0,1000.0,,,Copper Alloy,Gold,0.76,,Steel,Tin,PBT,Black,Friction,Keyed,500,,,-25,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"dsub,d-de9,9pins,male",script,2026-02-17 07:17:46,,,1.0,0,0
