Keyld,MyPN,Name,Description,Value,Value2,Symbol,Footprint,Footprint_Filter,Coil_Voltage,Coil_Resistance,Coil_Power,Contact_Form,Contact_Current,Contact_Voltage,Contact_Resistance,Switching_Power,Isolation_Voltage,Operate_Time,Release_Time,Mechanical_Life,Electrical_Life,Type,Mount,,Dimensions,Height,Termination,MinTemp,MaxTemp,Operating_Temp,Sealing,Flux_Proof,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
73,EL-REL-000073,SignalRelay_DPDT_4.5V_SMD_DualLatching_Small_Kemet_EE2_TNUH,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, small footprint SMD, 4.5V coil",EE2-4.5TNUH,4.5V DPDT SMD Dual Latch TNUH,Relay:EE2-4.5TNUH,Relay_SMD:Relay_DPDT_Kemet_EE2_NUH_DoubleCoil,Relay*DPDT*Kemet*EE2*NUH*DoubleCoil*,4.5V DC,72.5,0.28W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-4.5TNUH,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
74,EL-REL-000074,SignalRelay_DPDT_4.5V_SMD_DualLatching_HighReliability_Kemet_EE2_TNUX,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, high solder joint reliability SMD, 4.5V coil",EE2-4.5TNUX,4.5V DPDT SMD Dual Latch TNUX,Relay:EE2-4.5TNUX,Relay_SMD:Relay_DPDT_Kemet_EE2_NUX_DoubleCoil,Relay*DPDT*Kemet*EE2*NUX*DoubleCoil*,4.5V DC,72.5,0.28W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-4.5TNUX,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
75,EL-REL-000075,SignalRelay_DPDT_5V_SMD_NonLatching_Kemet_EE2,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, SMD, 5V coil",EE2-5NU,5V DPDT SMD,Relay:EE2-5NU,Relay_SMD:Relay_DPDT_Kemet_EE2_NU,Relay*DPDT*Kemet*EE2*NU*,5V DC,178,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-5NU,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
76,EL-REL-000076,SignalRelay_DPDT_5V_SMD_SmallFootprint_Kemet_EE2_NUH,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, small footprint SMD, 5V coil",EE2-5NUH,5V DPDT SMD NUH,Relay:EE2-5NUH,Relay_SMD:Relay_DPDT_Kemet_EE2_NUH,Relay*DPDT*Kemet*EE2*NUH*,5V DC,178,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-5NUH,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
77,EL-REL-000077,SignalRelay_DPDT_5V_SMD_HighReliability_Kemet_EE2_NUX,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, high solder joint reliability SMD, 5V coil",EE2-5NUX,5V DPDT SMD NUX,Relay:EE2-5NUX,Relay_SMD:Relay_DPDT_Kemet_EE2_NUX_NKX,Relay*DPDT*Kemet*EE2*NUX*,5V DC,178,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-5NUX,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
78,EL-REL-000078,SignalRelay_DPDT_5V_SMD_SingleLatching_Kemet_EE2,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, SMD, 5V coil",EE2-5SNU,5V DPDT SMD Single Latch,Relay:EE2-5SNU,Relay_SMD:Relay_DPDT_Kemet_EE2_NU,Relay*DPDT*Kemet*EE2*NU*,5V DC,178,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-5SNU,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
79,EL-REL-000079,SignalRelay_DPDT_5V_SMD_SingleLatching_Small_Kemet_EE2_SNUH,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, small footprint SMD, 5V coil",EE2-5SNUH,5V DPDT SMD Single Latch SNUH,Relay:EE2-5SNUH,Relay_SMD:Relay_DPDT_Kemet_EE2_NUH,Relay*DPDT*Kemet*EE2*NUH*,5V DC,178,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-5SNUH,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
80,EL-REL-000080,SignalRelay_DPDT_5V_SMD_SingleLatching_HighReliability_Kemet_EE2_SNUX,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, high solder joint reliability SMD, 5V coil",EE2-5SNUX,5V DPDT SMD Single Latch SNUX,Relay:EE2-5SNUX,Relay_SMD:Relay_DPDT_Kemet_EE2_NUX_NKX,Relay*DPDT*Kemet*EE2*NUX*,5V DC,178,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-5SNUX,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
81,EL-REL-000081,SignalRelay_DPDT_5V_SMD_DualLatching_Kemet_EE2,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, SMD, 5V coil",EE2-5TNU,5V DPDT SMD Dual Latch,Relay:EE2-5TNU,Relay_SMD:Relay_DPDT_Kemet_EE2_NU_DoubleCoil,Relay*DPDT*Kemet*EE2*NU*DoubleCoil*,5V DC,89,0.28W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-5TNU,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
82,EL-REL-000082,SignalRelay_DPDT_5V_SMD_DualLatching_Small_Kemet_EE2_TNUH,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, small footprint SMD, 5V coil",EE2-5TNUH,5V DPDT SMD Dual Latch TNUH,Relay:EE2-5TNUH,Relay_SMD:Relay_DPDT_Kemet_EE2_NUH_DoubleCoil,Relay*DPDT*Kemet*EE2*NUH*DoubleCoil*,5V DC,89,0.28W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-5TNUH,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
83,EL-REL-000083,SignalRelay_DPDT_5V_SMD_DualLatching_HighReliability_Kemet_EE2_TNUX,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, high solder joint reliability SMD, 5V coil",EE2-5TNUX,5V DPDT SMD Dual Latch TNUX,Relay:EE2-5TNUX,Relay_SMD:Relay_DPDT_Kemet_EE2_NUX_DoubleCoil,Relay*DPDT*Kemet*EE2*NUX*DoubleCoil*,5V DC,89,0.28W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-5TNUX,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
84,EL-REL-000084,SignalRelay_DPDT_2A_Subminiature_Finder_30.22,"Finder 30.22 - Subminiature DPDT relay, 5mm pitch, 2A switching capacity, ideal for telecommunications and industrial control",30.22,DPDT 2A Subminiature,Relay:FINDER-30.22,Relay_THT:Relay_DPDT_Finder_30.22,Relay*DPDT*Finder*30.22*,12V DC,1028,0.14W,DPDT (2 Form C),2A,250VAC,50mΩ,,,5ms,3ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://gfinder.findernet.com/assets/Series/354/S30EN.pdf,1,1,Finder,30.22.9.012.0000,30,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Dual Pole Relay signal,,2024-01-15,,2024-01-15,1,,
85,EL-REL-000085,PowerRelay_SPDT_6A_Finder_32.21,"Finder 32.21 - Single pole SPDT power relay, 6A switching capacity, compact package for general purpose applications",32.21-x000,SPDT 6A,Relay:FINDER-32.21-x000,Relay_THT:Relay_SPDT_Finder_32.21-x000,Relay*SPDT*Finder*32.21*x000*,12V DC,680,0.21W,SPDT (1 Form C),6A,250VAC,50mΩ,,,8ms,4ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://gfinder.findernet.com/assets/Series/355/S32EN.pdf,1,1,Finder,32.21.9.012.0000,32,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Single Pole Relay power,,2024-01-15,,2024-01-15,1,,
86,EL-REL-000086,PowerRelay_SPST_6A_Finder_32.21_SPST,"Finder 32.21 - Single pole SPST-NO power relay, 6A switching capacity, compact package for general purpose applications",32.21-x300,SPST-NO 6A,Relay:FINDER-32.21-x300,Relay_THT:Relay_SPST_Finder_32.21-x300,Relay*SPST*Finder*32.21*x300*,12V DC,680,0.21W,SPST-NO (1 Form A),6A,250VAC,50mΩ,,,8ms,4ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://gfinder.findernet.com/assets/Series/355/S32EN.pdf,1,1,Finder,32.21.9.012.3000,32,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Single Pole Relay SPST-NO,,2024-01-15,,2024-01-15,1,,
87,EL-REL-000087,SignalRelay_SPDT_6A_UltraSlim_Finder_34.51,"Finder 34.51 - Ultra-slim SPDT relay, 6A switching capacity, only 5mm wide, ideal for high-density PCB applications",34.51,SPDT 6A UltraSlim,Relay:FINDER-34.51,Relay_THT:Relay_SPDT_Finder_34.51_Vertical,Relay*SPDT*Finder*34.51*,12V DC,840,0.17W,SPDT (1 Form C),6A,400VAC,,,,5ms,3ms,10000000,60000,Electromechanical Monostable,Through Hole,Slim DIP,28.0 x 5.0 x 15.0mm,15.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://gfinder.findernet.com/public/attachments/34/EN/S34USAEN.pdf,1,1,Finder,34.51.7.012.4010,34,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Single Pole Relay SPDT ultraslim,,2024-01-15,,2024-01-15,1,,
88,EL-REL-000088,SignalRelay_SPDT_6A_UltraSlim_Horizontal_Finder_34.51,"Finder 34.51 - Ultra-slim SPDT relay, horizontal version, 6A switching capacity, only 5mm wide",34.51.7xxx.x019,SPDT 6A Horizontal,Relay:FINDER-34.51.7xxx.x019,Relay_THT:Relay_SPDT_Finder_34.51_Horizontal,Relay*SPDT*Finder*34.51*Horizontal*,12V DC,840,0.17W,SPDT (1 Form C),6A,400VAC,,,,5ms,3ms,10000000,60000,Electromechanical Monostable,Through Hole,Slim DIP,28.0 x 5.0 x 15.0mm,15.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://gfinder.findernet.com/public/attachments/34/EN/S34USAEN.pdf,1,1,Finder,34.51.7.012.4019,34,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,Single Pole Relay SPDT ultraslim horizontal,,2024-01-15,,2024-01-15,1,,
89,EL-REL-000089,PowerRelay_SPDT_10A_Finder_36.11,"Finder 36.11 - Miniature SPDT power relay, 10A switching capacity, compact package for industrial applications",36.11,SPDT 10A,Relay:FINDER-36.11,Relay_THT:Relay_SPDT_Finder_36.11,Relay*SPDT*Finder*36.11*,12V DC,400,0.36W,SPDT (1 Form C),10A,250VAC,,,,10ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.2 x 15.5mm,15.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://gfinder.findernet.com/public/attachments/36/EN/S36EN.pdf,1,1,Finder,36.11.9.012.4011,36,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,spdt relay power,,2024-01-15,,2024-01-15,1,,
90,EL-REL-000090,PowerRelay_SPDT_10A_LowProfile_Finder_40.11,"Finder 40.11 - Low profile SPDT power relay, 10A switching capacity, flat pack design for space-constrained applications",40.11,SPDT 10A LowProfile,Relay:FINDER-40.11,Relay_THT:Relay_SPDT_Finder_40.11,Relay*SPDT*Finder*40.11*,12V DC,470,0.3W,SPDT (1 Form C),10A,250VAC,,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,Low Profile,28.5 x 12.7 x 26.3mm,12.7mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www.finder-relais.net/de/finder-relais-serie-40.pdf,1,1,Finder,40.11.7.012.2000,40,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Single Pole Relay SPDT Finder,,2024-01-15,,2024-01-15,1,,
91,EL-REL-000091,PowerRelay_SPDT_16A_LowProfile_Finder_40.11,"Finder 40.11 - Low profile SPDT power relay, 16A switching capacity, flat pack design for high-current applications",40.11-2016,SPDT 16A,Relay:FINDER-40.11-2016,Relay_THT:Relay_SPDT_Finder_40.11,Relay*SPDT*Finder*40.11*,12V DC,270,0.53W,SPDT (1 Form C),16A,250VAC,,,,12ms,6ms,10000000,50000,Electromechanical Monostable,Through Hole,Low Profile,28.5 x 12.7 x 26.3mm,12.7mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www.finder-relais.net/de/finder-relais-serie-40.pdf,1,1,Finder,40.11.7.012.2016,40,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Single Pole Relay SPDT Finder high current,,2024-01-15,,2024-01-15,1,,
92,EL-REL-000092,PowerRelay_SPDT_10A_3.5mmPitch_Finder_40.31,"Finder 40.31 - SPDT power relay with 3.5mm pin pitch, 10A switching capacity, compact design for dense PCB layouts",40.31,SPDT 10A 3.5mm,Relay:FINDER-40.31,Relay_THT:Relay_SPDT_Finder_40.31,Relay*SPDT*Finder*40.31*,12V DC,470,0.3W,SPDT (1 Form C),10A,250VAC,,,,7ms,3ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,28.5 x 10.0 x 12.5mm,12.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://gfinder.findernet.com/assets/Series/353/S40EN.pdf,1,1,Finder,40.31.9.012.0000,40,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Single Pole Relay compact,,2024-01-15,,2024-01-15,1,,
93,EL-REL-000093,PowerRelay_SPDT_10A_Vertical_Finder_40.41,"Finder 40.41 - Vertical mount SPDT power relay, 10A switching capacity, ideal for applications requiring vertical PCB mounting",40.41,SPDT 10A Vertical,Relay:FINDER-40.41,Relay_THT:Relay_SPDT_Finder_40.41,Relay*SPDT*Finder*40.41*,12V DC,470,0.3W,SPDT (1 Form C),10A,250VAC,,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,Vertical,28.5 x 12.7 x 26.3mm,26.3mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www.finder-relais.net/de/finder-relais-serie-40.pdf,1,1,Finder,40.41.9.012.0000,40,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Single Pole Relay SPDT Finder vertical,,2024-01-15,,2024-01-15,1,,
94,EL-REL-000094,PowerRelay_SPDT_10A_5mmPitch_Finder_40.51,"Finder 40.51 - SPDT power relay with 5mm pin pitch, 10A switching capacity, standard package for general purpose applications",40.51,SPDT 10A 5mm,Relay:FINDER-40.51,Relay_THT:Relay_SPDT_Finder_40.51,Relay*SPDT*Finder*40.51*,12V DC,470,0.3W,SPDT (1 Form C),10A,250VAC,,,,7ms,3ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,28.5 x 12.5 x 25.5mm,25.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://gfinder.findernet.com/assets/Series/353/S40EN.pdf,1,1,Finder,40.51.9.012.0000,40,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Single Pole Relay standard,,2024-01-15,,2024-01-15,1,,
95,EL-REL-000095,PowerRelay_DPDT_8A_5mmPitch_Finder_40.52,"Finder 40.52 - DPDT power relay with 5mm pin pitch, 8A switching capacity, dual pole version of 40 series",40.52,DPDT 8A 5mm,Relay:FINDER-40.52,Relay_THT:Relay_DPDT_Finder_40.52,Relay*DPDT*Finder*40.52*,12V DC,470,0.3W,DPDT (2 Form C),8A,250VAC,,,,7ms,3ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,28.5 x 12.5 x 25.5mm,25.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://gfinder.findernet.com/assets/Series/353/S40EN.pdf,1,1,Finder,40.52.9.012.0000,40,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Dual Pole Relay power,,2024-01-15,,2024-01-15,1,,
96,EL-REL-000096,PowerRelay_DPDT_8A_Finder_41.52,"Finder 41.52 - DPDT power relay, 8A switching capacity, 5mm pin pitch, industrial grade",41.52,DPDT 8A,Relay:FINDER-41.52,Relay_THT:Relay_DPDT_Finder_40.52,Relay*DPDT*Finder*40.52*,12V DC,470,0.3W,DPDT (2 Form C),8A,250VAC,,,,7ms,3ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,28.5 x 12.5 x 25.5mm,25.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://gfinder.findernet.com/assets/Series/357/S41EN.pdf,1,1,Finder,41.52.9.012.0000,41,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Dual Pole Relay industrial,,2024-01-15,,2024-01-15,1,,
97,EL-REL-000097,PowerRelay_DPDT_6A_Finder_44.52,"Finder 44.52 - DPDT power relay, 6A switching capacity, 5mm pin pitch, compact design",44.52,DPDT 6A,Relay:FINDER-44.52,Relay_THT:Relay_DPDT_Finder_40.52,Relay*DPDT*Finder*40.52*,12V DC,470,0.3W,DPDT (2 Form C),6A,250VAC,,,,7ms,3ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,28.5 x 12.5 x 25.5mm,25.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://gfinder.findernet.com/assets/Series/359/S44EN.pdf,1,1,Finder,44.52.9.012.0000,44,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Dual Pole Relay compact,,2024-01-15,,2024-01-15,1,,
98,EL-REL-000098,PowerRelay_DPDT_10A_Finder_44.62,"Finder 44.62 - DPDT power relay, 10A switching capacity, 5mm pin pitch, high current version",44.62,DPDT 10A,Relay:FINDER-44.62,Relay_THT:Relay_DPDT_Finder_40.52,Relay*DPDT*Finder*40.52*,12V DC,270,0.53W,DPDT (2 Form C),10A,250VAC,,,,7ms,3ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,28.5 x 12.5 x 25.5mm,25.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,http://gfinder.findernet.com/assets/Series/359/S44EN.pdf,1,1,Finder,44.62.9.012.0000,44,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Dual Pole Relay high current,,2024-01-15,,2024-01-15,1,,
99,EL-REL-000099,SignalRelay_DPDT_2A_Miniature_FRT5,"Forward Industrial FRT5 - Miniature DPDT relay, DIP-like package, 2A switching capacity, industrial control",FRT5,DPDT 2A,Relay:FRT5,Relay_THT:Relay_DPDT_FRT5,Relay*DPDT*FRT5*,12V DC,400,0.36W,DPDT (2 Form C),2A,125VAC,50mΩ,,,5ms,3ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www.elpro.org/de/index.php?controller=attachment&id_attachment=8663,1,1,Forward Industrial,FRT5,FRT5,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,relay monostable miniature,,2024-01-15,,2024-01-15,1,,
100,EL-REL-000100,SignalRelay_DPDT_2A_Miniature_Separated_FRT5,"Forward Industrial FRT5 - Miniature DPDT relay with separate subsymbols, DIP-like package, 2A switching capacity",FRT5_separated,DPDT 2A Separated,Relay:FRT5_separated,Relay_THT:Relay_DPDT_FRT5,Relay*DPDT*FRT5*,12V DC,400,0.36W,DPDT (2 Form C),2A,125VAC,50mΩ,,,5ms,3ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www.elpro.org/de/index.php?controller=attachment&id_attachment=8663,1,1,Forward Industrial,FRT5,FRT5,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,relay monostable miniature separated,,2024-01-15,,2024-01-15,1,,
101,EL-REL-000101,PowerRelay_DPST_5A_LowProfile_Fujitsu_FTRF1A,"Fujitsu FTR-F1 Series - Low profile power relay, DPST (2 Form A), 5A switching capacity, compact design for space-constrained applications",FTR-F1A,DPST 5A LowProfile,Relay:Fujitsu_FTR-F1A,Relay_THT:Relay_DPST_Fujitsu_FTR-F1A,*Relay*DPST*Fujitsu*FTR*F1A*,12V DC,720,0.2W,DPST-NO (2 Form A),5A,250VAC,100mΩ,,,15ms,8ms,20000000,100000,Electromechanical Monostable,Through Hole,Low Profile,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.fcl.fujitsu.com/downloads/MICRO/fcai/relays/ftr-f1.pdf,1,1,Fujitsu,FTR-F1AA012T,FTR-F1,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,double pole single throw relay low profile,,2024-01-15,,2024-01-15,1,,
102,EL-REL-000102,PowerRelay_DPDT_5A_LowProfile_Fujitsu_FTRF1C,"Fujitsu FTR-F1 Series - Low profile power relay, DPDT (2 Form C), 5A switching capacity, compact design for industrial applications",FTR-F1C,DPDT 5A LowProfile,Relay:Fujitsu_FTR-F1C,Relay_THT:Relay_DPDT_Fujitsu_FTR-F1C,*Relay*DPDT*Fujitsu*FTR*F1C*,12V DC,720,0.2W,DPDT (2 Form C),5A,250VAC,100mΩ,,,15ms,8ms,20000000,100000,Electromechanical Monostable,Through Hole,Low Profile,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.fcl.fujitsu.com/downloads/MICRO/fcai/relays/ftr-f1.pdf,1,1,Fujitsu,FTR-F1CA012T,FTR-F1,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,double pole double throw relay low profile,,2024-01-15,,2024-01-15,1,,
103,EL-REL-000103,PowerRelay_SPST_6A_Vertical_Fujitsu_FTRLYAA,"Fujitsu FTR-LY Series - SPST-NO Form A power relay, vertical mount, 6A switching capacity, 5-60V coil range, compact 28x5x15mm package",FTR-LYAA005x,SPST 6A Vertical,Relay:Fujitsu_FTR-LYAA005x,Relay_THT:Relay_SPST-NO_Fujitsu_FTR-LYAA005x_FormA_Vertical,Relay*Fujitsu*FTR?LYA*,12V DC,720,0.2W,SPST-NO (1 Form A),6A,250VAC,100mΩ,,,10ms,5ms,10000000,50000,Electromechanical Monostable,Through Hole,Vertical,28.0 x 5.0 x 15.0mm,15.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www.fujitsu.com/sg/imagesgig5/ftr-ly.pdf,1,1,Fujitsu,FTR-LYAA012X,FTR-LY,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,6A SPST-NO Relay vertical,,2024-01-15,,2024-01-15,1,,
