KeyId,MyPN,Name,Description,Value,Value2,FET_Type,Channel,Mode,Material,VDS,VGS,VGS_Threshold,ID_Continuous,ID_Pulse,RDS_On,RDS_On_Condition,Power_Total,Input_Capacitance,Output_Capacitance,Reverse_Capacitance,Gate_Charge_Total,Gate_Charge_GS,Gate_Charge_GD,Turn_On_Delay,Rise_Time,Turn_Off_Delay,Fall_Time,Diode_Forward_Voltage,Diode_Recovery_Time,IDSS,IGSS,Package,Dimensions,Height,Mount,MinTemp,MaxTemp,Operating_Temp,MSL_Rating,Symbol,Footprint,Footprint_Filter,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
,EL-TST-000138,Si7456DP,"N-Channel TrenchFET MOSFET, 150V, 11A, 15mΩ, PowerPAK SO-8",N-MOS 150V 11A 15mΩ,,MOSFET,N-Channel,Enhancement,Silicon,150V,±20V,2-4V,11A,44A,15mΩ,"VGS=10V, ID=5.5A",52W,1900pF,400pF,70pF,32nC,7.5nC,10nC,14ns,22ns,38ns,16ns,1.2V,65ns,1µA,100nA,PowerPAK SO-8,5.86x5.21mm,1.04mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SO:PowerPAK_SO-8_Single,PowerPAK*SO*Single*,,1,1,Vishay,Si7456DP-T1-GE3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000139,Si7460DP,"P-Channel TrenchFET MOSFET, -40V, -20A, 8.5mΩ, PowerPAK SO-8",P-MOS 40V 20A 8.5mΩ,,MOSFET,P-Channel,Enhancement,Silicon,-40V,±20V,-1.0 to -2.5V,-20A,-80A,8.5mΩ,"VGS=-10V, ID=-10A",52W,2800pF,900pF,280pF,45nC,10nC,15nC,16ns,28ns,42ns,22ns,-1.0V,38ns,-1µA,±100nA,PowerPAK SO-8,5.86x5.21mm,1.04mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_PMOS_GDS,MyLib_Package_SO:PowerPAK_SO-8_Single,PowerPAK*SO*Single*,,1,1,Vishay,Si7460DP-T1-GE3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000140,Si7465DP,"P-Channel TrenchFET MOSFET, -60V, -15A, 12mΩ, PowerPAK SO-8",P-MOS 60V 15A 12mΩ,,MOSFET,P-Channel,Enhancement,Silicon,-60V,±20V,-1.0 to -2.5V,-15A,-60A,12mΩ,"VGS=-10V, ID=-7.5A",52W,3200pF,1000pF,320pF,52nC,12nC,18nC,18ns,32ns,48ns,25ns,-1.2V,42ns,-1µA,±100nA,PowerPAK SO-8,5.86x5.21mm,1.04mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_PMOS_GDS,MyLib_Package_SO:PowerPAK_SO-8_Single,PowerPAK*SO*Single*,,1,1,Vishay,Si7465DP-T1-GE3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000141,Si7470DP,"N-Channel TrenchFET MOSFET, 80V, 15A, 7.5mΩ, PowerPAK SO-8",N-MOS 80V 15A 7.5mΩ,,MOSFET,N-Channel,Enhancement,Silicon,80V,±20V,1.5-3.0V,15A,60A,7.5mΩ,"VGS=10V, ID=7.5A",52W,2100pF,550pF,95pF,38nC,8.5nC,12nC,15ns,24ns,40ns,18ns,1.2V,48ns,1µA,100nA,PowerPAK SO-8,5.86x5.21mm,1.04mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SO:PowerPAK_SO-8_Single,PowerPAK*SO*Single*,,1,1,Vishay,Si7470DP-T1-GE3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000142,Si7840DP,"N-Channel TrenchFET MOSFET, 40V, 20A, 4.5mΩ, PowerPAK SO-8",N-MOS 40V 20A 4.5mΩ,,MOSFET,N-Channel,Enhancement,Silicon,40V,±20V,0.6-1.6V,20A,80A,4.5mΩ,"VGS=10V, ID=10A",52W,2100pF,650pF,150pF,26nC,6.2nC,8.5nC,12ns,18ns,32ns,14ns,1.0V,32ns,1µA,100nA,PowerPAK SO-8,5.86x5.21mm,1.04mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SO:PowerPAK_SO-8_Single,PowerPAK*SO*Single*,,1,1,Vishay,Si7840DP-T1-GE3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000143,Si7850DP,"N-Channel TrenchFET MOSFET, 60V, 20A, 6.5mΩ, PowerPAK SO-8",N-MOS 60V 20A 6.5mΩ,,MOSFET,N-Channel,Enhancement,Silicon,60V,±20V,1.0-2.5V,20A,80A,6.5mΩ,"VGS=10V, ID=10A",52W,2000pF,600pF,120pF,32nC,7.5nC,10nC,14ns,22ns,36ns,16ns,1.1V,42ns,1µA,100nA,PowerPAK SO-8,5.86x5.21mm,1.04mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SO:PowerPAK_SO-8_Single,PowerPAK*SO*Single*,,1,1,Vishay,Si7850DP-T1-GE3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000144,SiSS32DN,"N-Channel TrenchFET MOSFET, 30V, 40A, 2.2mΩ, PowerPAK 1212-8",N-MOS 30V 40A 2.2mΩ,,MOSFET,N-Channel,Enhancement,Silicon,30V,±20V,0.6-1.6V,40A,80A,2.2mΩ,"VGS=10V, ID=20A",52W,2500pF,750pF,180pF,32nC,7.5nC,9.8nC,13ns,19ns,31ns,14ns,1.0V,32ns,1µA,100nA,PowerPAK 1212-8,3.30x3.30mm,0.75mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Vishay_PowerPAK_1212-8_Single,Vishay*PowerPAK*1212*Single*,,1,1,Vishay,SiSS32DN-T1-GE3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000145,SiSS36DN,"N-Channel TrenchFET MOSFET, 30V, 60A, 1.5mΩ, PowerPAK 1212-8",N-MOS 30V 60A 1.5mΩ,,MOSFET,N-Channel,Enhancement,Silicon,30V,±20V,0.6-1.6V,60A,120A,1.5mΩ,"VGS=10V, ID=30A",52W,3500pF,1050pF,250pF,45nC,10.5nC,14nC,15ns,22ns,35ns,16ns,1.0V,35ns,1µA,100nA,PowerPAK 1212-8,3.30x3.30mm,0.75mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Vishay_PowerPAK_1212-8_Single,Vishay*PowerPAK*1212*Single*,,1,1,Vishay,SiSS36DN-T1-GE3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000146,SiSS48DN,"N-Channel TrenchFET MOSFET, 40V, 40A, 3.0mΩ, PowerPAK 1212-8",N-MOS 40V 40A 3.0mΩ,,MOSFET,N-Channel,Enhancement,Silicon,40V,±20V,0.8-2.0V,40A,80A,3.0mΩ,"VGS=10V, ID=20A",52W,2800pF,850pF,200pF,38nC,8.8nC,12nC,14ns,20ns,33ns,15ns,1.0V,34ns,1µA,100nA,PowerPAK 1212-8,3.30x3.30mm,0.75mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Vishay_PowerPAK_1212-8_Single,Vishay*PowerPAK*1212*Single*,,1,1,Vishay,SiSS48DN-T1-GE3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000147,SiS412DN,"N-Channel TrenchFET MOSFET, 20V, 35A, 1.8mΩ, PowerPAK 1212-8",N-MOS 20V 35A 1.8mΩ,Logic Level,MOSFET,N-Channel,Enhancement,Silicon,20V,±12V,0.4-1.0V,35A,70A,1.8mΩ,"VGS=4.5V, ID=17.5A",52W,3200pF,950pF,230pF,42nC,10nC,13nC,14ns,21ns,34ns,15ns,1.0V,33ns,1µA,100nA,PowerPAK 1212-8,3.30x3.30mm,0.75mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Vishay_PowerPAK_1212-8_Single,Vishay*PowerPAK*1212*Single*,,1,1,Vishay,SiS412DN-T1-GE3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000148,SiS436DN,"N-Channel TrenchFET MOSFET, 30V, 30A, 2.9mΩ, PowerPAK 1212-8",N-MOS 30V 30A 2.9mΩ,,MOSFET,N-Channel,Enhancement,Silicon,30V,±20V,0.6-1.6V,30A,60A,2.9mΩ,"VGS=10V, ID=15A",52W,2400pF,720pF,175pF,31nC,7.2nC,9.5nC,13ns,19ns,32ns,14ns,1.0V,31ns,1µA,100nA,PowerPAK 1212-8,3.30x3.30mm,0.75mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Vishay_PowerPAK_1212-8_Single,Vishay*PowerPAK*1212*Single*,,1,1,Vishay,SiS436DN-T1-GE3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000149,SiS443DN,"P-Channel TrenchFET MOSFET, -40V, -35A, 4.8mΩ, PowerPAK 1212-8",P-MOS 40V 35A 4.8mΩ,,MOSFET,P-Channel,Enhancement,Silicon,-40V,±20V,-0.8 to -2.0V,-35A,-70A,4.8mΩ,"VGS=-10V, ID=-17.5A",52W,3500pF,1100pF,350pF,58nC,13nC,19nC,18ns,30ns,45ns,24ns,-1.0V,40ns,-1µA,±100nA,PowerPAK 1212-8,3.30x3.30mm,0.75mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_PMOS_GDS,MyLib_Package_SON:Vishay_PowerPAK_1212-8_Single,Vishay*PowerPAK*1212*Single*,,1,1,Vishay,SiS443DN-T1-GE3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000150,SiS447DN,"P-Channel TrenchFET MOSFET, -30V, -35A, 3.9mΩ, PowerPAK 1212-8",P-MOS 30V 35A 3.9mΩ,,MOSFET,P-Channel,Enhancement,Silicon,-30V,±20V,-0.6 to -1.6V,-35A,-70A,3.9mΩ,"VGS=-10V, ID=-17.5A",52W,3800pF,1200pF,380pF,62nC,14nC,21nC,19ns,32ns,48ns,25ns,-1.0V,42ns,-1µA,±100nA,PowerPAK 1212-8,3.30x3.30mm,0.75mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_PMOS_GDS,MyLib_Package_SON:Vishay_PowerPAK_1212-8_Single,Vishay*PowerPAK*1212*Single*,,1,1,Vishay,SiS447DN-T1-GE3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000151,IPB60R040C7,"CoolMOS C7 N-Channel Power MOSFET, 600V, 43A, 40mΩ, TO-263-7",N-MOS 600V 43A 40mΩ,C7 Technology,MOSFET,N-Channel,Enhancement,Silicon,600V,±20V,2.5-3.5V,43A,129A,40mΩ,"VGS=12V, ID=21.5A",227W,2200pF,35pF,12pF,48nC,14nC,16nC,15ns,7ns,42ns,9ns,0.9V,170ns,1µA,100nA,TO-263-7,10.26x9.85mm,4.80mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:TO-263-7_TabPin8,TO?263*TabPin8*,,1,1,Infineon,IPB60R040C7,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000152,IPB60R099C7,"CoolMOS C7 N-Channel Power MOSFET, 600V, 21A, 99mΩ, TO-263-7",N-MOS 600V 21A 99mΩ,C7 Technology,MOSFET,N-Channel,Enhancement,Silicon,600V,±20V,2.5-3.5V,21A,63A,99mΩ,"VGS=12V, ID=10.5A",114W,1000pF,16pF,6pF,21nC,6.5nC,7.2nC,13ns,6ns,36ns,8ns,0.9V,155ns,1µA,100nA,TO-263-7,10.26x9.85mm,4.80mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:TO-263-7_TabPin8,TO?263*TabPin8*,,1,1,Infineon,IPB60R099C7,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000153,IPB65R045C7,"CoolMOS C7 N-Channel Power MOSFET, 700V, 37A, 45mΩ, TO-263-7",N-MOS 700V 37A 45mΩ,C7 Technology,MOSFET,N-Channel,Enhancement,Silicon,700V,±20V,2.5-3.5V,37A,111A,45mΩ,"VGS=12V, ID=18.5A",227W,2100pF,32pF,11pF,46nC,13nC,15nC,15ns,7ns,41ns,9ns,0.9V,175ns,1µA,100nA,TO-263-7,10.26x9.85mm,4.80mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:TO-263-7_TabPin8,TO?263*TabPin8*,,1,1,Infineon,IPB65R045C7,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000154,IPW60R017C7,"CoolMOS C7 N-Channel Power MOSFET, 600V, 86A, 17mΩ, TO-247",N-MOS 600V 86A 17mΩ,C7 Technology,MOSFET,N-Channel,Enhancement,Silicon,600V,±20V,2.5-3.5V,86A,258A,17mΩ,"VGS=12V, ID=43A",446W,5200pF,75pF,26pF,115nC,32nC,38nC,18ns,9ns,52ns,12ns,0.9V,195ns,1µA,100nA,TO-247,15.87x20.93mm,5.31mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,Infineon,IPW60R017C7,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000155,IPW60R024C7,"CoolMOS C7 N-Channel Power MOSFET, 600V, 64A, 24mΩ, TO-247",N-MOS 600V 64A 24mΩ,C7 Technology,MOSFET,N-Channel,Enhancement,Silicon,600V,±20V,2.5-3.5V,64A,192A,24mΩ,"VGS=12V, ID=32A",333W,3500pF,55pF,18pF,77nC,22nC,26nC,16ns,8ns,46ns,10ns,0.9V,180ns,1µA,100nA,TO-247,15.87x20.93mm,5.31mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,Infineon,IPW60R024C7,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000156,IPW65R080CFD,"CoolMOS CFD2 N-Channel Power MOSFET, 650V, 37A, 80mΩ, TO-247",N-MOS 650V 37A 80mΩ,Integrated Fast Diode,MOSFET,N-Channel,Enhancement,Silicon,650V,±20V,3.5-4.5V,37A,111A,80mΩ,"VGS=12V, ID=18.5A",227W,2500pF,25pF,12pF,56nC,15nC,18nC,19ns,10ns,52ns,13ns,0.9V,145ns,1µA,100nA,TO-247,15.87x20.93mm,5.31mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,Infineon,IPW65R080CFD,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000157,IPW65R110CFD,"CoolMOS CFD2 N-Channel Power MOSFET, 650V, 27A, 110mΩ, TO-247",N-MOS 650V 27A 110mΩ,Integrated Fast Diode,MOSFET,N-Channel,Enhancement,Silicon,650V,±20V,3.5-4.5V,27A,81A,110mΩ,"VGS=12V, ID=13.5A",151W,1800pF,18pF,9pF,38nC,11nC,13nC,17ns,9ns,46ns,11ns,0.9V,135ns,1µA,100nA,TO-247,15.87x20.93mm,5.31mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,Infineon,IPW65R110CFD,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000158,IPW65R190CFD,"CoolMOS CFD2 N-Channel Power MOSFET, 650V, 17A, 190mΩ, TO-247",N-MOS 650V 17A 190mΩ,Integrated Fast Diode,MOSFET,N-Channel,Enhancement,Silicon,650V,±20V,3.5-4.5V,17A,51A,190mΩ,"VGS=12V, ID=8.5A",104W,1050pF,11pF,5pF,23nC,6.8nC,8.2nC,15ns,8ns,40ns,10ns,0.9V,125ns,1µA,100nA,TO-247,15.87x20.93mm,5.31mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,Infineon,IPW65R190CFD,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000159,IPW60R125P6,"CoolMOS P6 N-Channel Power MOSFET, 600V, 25A, 125mΩ, TO-247",N-MOS 600V 25A 125mΩ,,MOSFET,N-Channel,Enhancement,Silicon,600V,±20V,2.5-3.5V,25A,75A,125mΩ,"VGS=12V, ID=12.5A",151W,1400pF,28pF,10pF,31nC,8.5nC,10nC,14ns,7ns,38ns,9ns,0.9V,165ns,1µA,100nA,TO-247,15.87x20.93mm,5.31mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,Infineon,IPW60R125P6,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000160,IPW60R160P6,"CoolMOS P6 N-Channel Power MOSFET, 600V, 20A, 160mΩ, TO-247",N-MOS 600V 20A 160mΩ,,MOSFET,N-Channel,Enhancement,Silicon,600V,±20V,2.5-3.5V,20A,60A,160mΩ,"VGS=12V, ID=10A",114W,1150pF,23pF,8pF,25nC,7.2nC,8.5nC,13ns,6.5ns,35ns,8.5ns,0.9V,160ns,1µA,100nA,TO-247,15.87x20.93mm,5.31mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,Infineon,IPW60R160P6,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000161,C3M0016120K,"1200V SiC MOSFET, 115A, 16mΩ, TO-247-4",N-SiC 1200V 115A 16mΩ,Kelvin Source,SiCFET,N-Channel,Enhancement,SiC,1200V,±25V,2.7-4.8V,115A,230A,16mΩ,"VGS=15V, ID=57.5A",556W,5800pF,350pF,28pF,175nC,48nC,55nC,22ns,32ns,48ns,26ns,4.5V,32ns,1µA,100nA,TO-247-4,15.87x20.83mm,5.31mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-4_Vertical,TO?247*,,1,1,Cree/Wolfspeed,C3M0016120K,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000162,C3M0021120K,"1200V SiC MOSFET, 95A, 21mΩ, TO-247-4",N-SiC 1200V 95A 21mΩ,Kelvin Source,SiCFET,N-Channel,Enhancement,SiC,1200V,±25V,2.7-4.8V,95A,190A,21mΩ,"VGS=15V, ID=47.5A",465W,4800pF,290pF,24pF,145nC,40nC,46nC,20ns,29ns,44ns,24ns,4.5V,30ns,1µA,100nA,TO-247-4,15.87x20.83mm,5.31mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-4_Vertical,TO?247*,,1,1,Cree/Wolfspeed,C3M0021120K,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000163,C3M0032120K,"1200V SiC MOSFET, 63A, 32mΩ, TO-247-4",N-SiC 1200V 63A 32mΩ,Kelvin Source,SiCFET,N-Channel,Enhancement,SiC,1200V,±25V,2.7-4.8V,63A,126A,32mΩ,"VGS=15V, ID=31.5A",327W,3300pF,200pF,16pF,98nC,27nC,31nC,18ns,26ns,40ns,22ns,4.5V,28ns,1µA,100nA,TO-247-4,15.87x20.83mm,5.31mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-4_Vertical,TO?247*,,1,1,Cree/Wolfspeed,C3M0032120K,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000164,C3M0045065K,"650V SiC MOSFET, 68A, 45mΩ, TO-247-4",N-SiC 650V 68A 45mΩ,Kelvin Source,SiCFET,N-Channel,Enhancement,SiC,650V,±25V,2.5-4.5V,68A,136A,45mΩ,"VGS=15V, ID=34A",227W,2100pF,180pF,18pF,52nC,15nC,18nC,16ns,22ns,35ns,19ns,4.3V,25ns,1µA,100nA,TO-247-4,15.87x20.83mm,5.31mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-4_Vertical,TO?247*,,1,1,Cree/Wolfspeed,C3M0045065K,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000165,SCT3030AL,"SiC Power MOSFET, 650V, 70A, 30mΩ, TO-247",N-SiC 650V 70A 30mΩ,Automotive,SiCFET,N-Channel,Enhancement,SiC,650V,±22V,2.7-4.8V,70A,140A,30mΩ,"VGS=18V, ID=35A",262W,2100pF,260pF,32pF,62nC,18nC,22nC,18ns,26ns,38ns,22ns,4.3V,26ns,1µA,100nA,TO-247,15.87x20.83mm,5.31mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,ROHM,SCT3030AL,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000166,SCT3080AL,"SiC Power MOSFET, 650V, 30A, 80mΩ, TO-247",N-SiC 650V 30A 80mΩ,Automotive,SiCFET,N-Channel,Enhancement,SiC,650V,±22V,2.7-4.8V,30A,60A,80mΩ,"VGS=18V, ID=15A",137W,1050pF,130pF,16pF,32nC,9.5nC,11nC,16ns,22ns,34ns,19ns,4.3V,24ns,1µA,100nA,TO-247,15.87x20.83mm,5.31mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,ROHM,SCT3080AL,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000167,SCT3120AL,"SiC Power MOSFET, 650V, 21A, 120mΩ, TO-247",N-SiC 650V 21A 120mΩ,Automotive,SiCFET,N-Channel,Enhancement,SiC,650V,±22V,2.7-4.8V,21A,42A,120mΩ,"VGS=18V, ID=10.5A",103W,750pF,95pF,12pF,23nC,6.8nC,8.2nC,15ns,20ns,32ns,18ns,4.3V,23ns,1µA,100nA,TO-247,15.87x20.83mm,5.31mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,ROHM,SCT3120AL,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000168,NVHL020N65S3,"SuperFET III N-Channel Power MOSFET, 650V, 75A, 20mΩ, TO-247",N-MOS 650V 75A 20mΩ,Automotive,MOSFET,N-Channel,Enhancement,Silicon,650V,±30V,3-5V,75A,225A,20mΩ,"VGS=10V, ID=37.5A",568W,9700pF,350pF,85pF,198nC,52nC,68nC,32ns,45ns,98ns,38ns,1.2V,280ns,1µA,100nA,TO-247,15.87x20.83mm,5.31mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,onsemi,NVHL020N65S3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000169,NVHL045N65S3,"SuperFET III N-Channel Power MOSFET, 650V, 47A, 45mΩ, TO-247",N-MOS 650V 47A 45mΩ,Automotive,MOSFET,N-Channel,Enhancement,Silicon,650V,±30V,3-5V,47A,141A,45mΩ,"VGS=10V, ID=23.5A",357W,4700pF,170pF,42pF,101nC,26nC,34nC,26ns,36ns,78ns,30ns,1.2V,240ns,1µA,100nA,TO-247,15.87x20.83mm,5.31mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,onsemi,NVHL045N65S3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000170,NVHL075N65S3,"SuperFET III N-Channel Power MOSFET, 650V, 30A, 75mΩ, TO-247",N-MOS 650V 30A 75mΩ,Automotive,MOSFET,N-Channel,Enhancement,Silicon,650V,±30V,3-5V,30A,90A,75mΩ,"VGS=10V, ID=15A",250W,2900pF,105pF,26pF,62nC,16nC,21nC,22ns,30ns,65ns,25ns,1.2V,210ns,1µA,100nA,TO-247,15.87x20.83mm,5.31mm,THT,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,onsemi,NVHL075N65S3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000171,STW88N65M5,"MDmesh M5 N-Channel Power MOSFET, 650V, 84A, 29mΩ, TO-247",N-MOS 650V 84A 29mΩ,,MOSFET,N-Channel,Enhancement,Silicon,650V,±25V,3-5V,84A,336A,29mΩ,"VGS=10V, ID=42A",446W,9800pF,360pF,75pF,185nC,48nC,62nC,35ns,42ns,105ns,45ns,1.6V,310ns,25µA,10nA,TO-247,15.87x20.83mm,5.31mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,STMicroelectronics,STW88N65M5,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000172,STW77N65M5,"MDmesh M5 N-Channel Power MOSFET, 650V, 69A, 34mΩ, TO-247",N-MOS 650V 69A 34mΩ,,MOSFET,N-Channel,Enhancement,Silicon,650V,±25V,3-5V,69A,276A,34mΩ,"VGS=10V, ID=34.5A",390W,8200pF,300pF,62pF,155nC,40nC,52nC,32ns,38ns,95ns,40ns,1.6V,290ns,25µA,10nA,TO-247,15.87x20.83mm,5.31mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,STMicroelectronics,STW77N65M5,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
