KeyId,MyPN,Name,Description,Value,Value2,Type,Material,VCEO,VCBO,VEBO,IC_Continuous,IC_Peak,IB_Continuous,Power_Total,HFE_Min,HFE_Max,HFE_Test_Condition,VCE_Sat_Max,VBE_Sat_Max,FT,CC,Polarity,Complement_PN,Package,Dimensions,Height,Mount,MinTemp,MaxTemp,Operating_Temp,MSL_Rating,Symbol,Footprint,Footprint_Filter,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
,EL-TST-000055,2N3904,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92",NPN 40V 0.2A 300MHz,,NPN,Silicon,40V,60V,6V,0.2A,,,0.625W,100,300,,0.2V,0.85V,300MHz,,,EL-TST-000057,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000056,2N3906,"-0.2A Ic, -40V Vce, Small Signal PNP Transistor, TO-92",PNP 40V 0.2A 250MHz,,PNP,Silicon,-40V,-40V,-5V,-0.2A,,,0.625W,100,300,,-0.25V,-0.85V,250MHz,,,EL-TST-000055,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_PNP_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000057,2N3905,"-0.2A Ic, -40V Vce, Small Signal PNP Transistor, TO-92",PNP 40V 0.2A 200MHz,,PNP,Silicon,-40V,-40V,-5V,-0.2A,,,0.625W,50,150,,-0.25V,-0.85V,200MHz,,,EL-TST-000055,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_PNP_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000058,2N2222A,"0.8A Ic, 40V Vce, NPN Transistor, TO-39",NPN 40V 0.8A 300MHz,,NPN,Silicon,40V,75V,6V,0.8A,,,0.5W,100,300,,0.3V,1.2V,300MHz,,,,TO-39,,,Through Hole,-65°C,200°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-39-3,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000059,PN2222A,"1A Ic, 40V Vce, NPN Transistor, General Purpose Transistor, TO-92",NPN 40V 1A 300MHz,,NPN,Silicon,40V,75V,6V,1A,,,0.625W,100,300,,0.3V,1.2V,300MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000060,BC107,"0.1A Ic, 50V Vce, Low Noise General Purpose NPN Transistor, TO-18",NPN 50V 0.1A 150MHz,,NPN,Silicon,50V,50V,6V,0.1A,,,0.3W,110,450,,0.6V,,150MHz,,,,TO-18,,,Through Hole,-65°C,175°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-18-3,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000061,BC108,"0.1A Ic, 30V Vce, Low Noise General Purpose NPN Transistor, TO-18",NPN 30V 0.1A 150MHz,,NPN,Silicon,30V,30V,5V,0.1A,,,0.3W,110,450,,0.6V,,150MHz,,,,TO-18,,,Through Hole,-65°C,175°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-18-3,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000062,BC109,"0.2A Ic, 25V Vce, Low Noise General Purpose NPN Transistor, TO-18",NPN 25V 0.2A 150MHz,,NPN,Silicon,25V,30V,5V,0.2A,,,0.3W,200,800,,0.6V,,150MHz,,,,TO-18,,,Through Hole,-65°C,175°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-18-3,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000063,BC140,"1A Ic, 40V Vce, NPN Transistor, TO-39",NPN 40V 1A 50MHz,,NPN,Silicon,40V,60V,7V,1A,,,1W,40,250,,0.6V,,50MHz,,,EL-TST-000065,TO-39,,,Through Hole,-65°C,175°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-39-3,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000064,BC141,"1A Ic, 60V Vce, NPN Transistor, TO-39",NPN 60V 1A 50MHz,,NPN,Silicon,60V,80V,7V,1A,,,1W,40,250,,0.6V,,50MHz,,,EL-TST-000066,TO-39,,,Through Hole,-65°C,175°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-39-3,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000065,BC160,"1A Ic, 40V Vce, Power PNP Transistor, TO-39",PNP 40V 1A 50MHz,,PNP,Silicon,-40V,-60V,-7V,-1A,,,1W,40,250,,-0.6V,,50MHz,,,EL-TST-000063,TO-39,,,Through Hole,-65°C,175°C,,,MyLib_Transistor:Q_PNP_BCE,MyLib_Package_TO_SOT_THT:TO-39-3,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000066,BC161,"1A Ic, 60V Vce, Power PNP Transistor, TO-39",PNP 60V 1A 50MHz,,PNP,Silicon,-60V,-80V,-7V,-1A,,,1W,40,250,,-0.6V,,50MHz,,,EL-TST-000064,TO-39,,,Through Hole,-65°C,175°C,,,MyLib_Transistor:Q_PNP_BCE,MyLib_Package_TO_SOT_THT:TO-39-3,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000067,BC212,"0.3A Ic, 50V Vce, PNP Transistor, TO-92",PNP 50V 0.3A 150MHz,,PNP,Silicon,-50V,-60V,-5V,-0.3A,,,0.6W,100,450,,-0.6V,,150MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_PNP_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000068,BC237,"100mA Ic, 50V Vce, Epitaxial Silicon NPN Transistor, TO-92",NPN 50V 0.1A 150MHz,,NPN,Silicon,50V,60V,6V,0.1A,,,0.5W,110,800,,0.6V,,150MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000069,BC240,"50mA Ic, 40V Vce, RF Signal NPN Transistor, TO-92",NPN 40V 50mA 500MHz,,NPN,Silicon,40V,40V,4V,50mA,,,0.35W,40,,,0.25V,,500MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT_RF,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000070,BC307,"100mA Ic, 45V Vce, Epitaxial Silicon PNP Transistor, TO-92",PNP 45V 0.1A 150MHz,,PNP,Silicon,-45V,-50V,-5V,-0.1A,,,0.5W,110,800,,-0.6V,,150MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_PNP_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000071,BC327,"0.8A Ic, 45V Vce, PNP Transistor, TO-92",PNP 45V 0.8A 100MHz,,PNP,Silicon,-45V,-50V,-5V,-0.8A,,,0.625W,100,600,,-0.5V,-1.2V,100MHz,,,EL-TST-000073,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_PNP_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000072,BC328,"0.8A Ic, 25V Vce, PNP Transistor, TO-92",PNP 25V 0.8A 100MHz,,PNP,Silicon,-25V,-30V,-5V,-0.8A,,,0.625W,100,600,,-0.5V,-1.2V,100MHz,,,EL-TST-000074,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_PNP_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000073,BC337,"0.8A Ic, 45V Vce, NPN Transistor, TO-92",NPN 45V 0.8A 100MHz,,NPN,Silicon,45V,50V,5V,0.8A,,,0.625W,100,600,,0.5V,1.2V,100MHz,,,EL-TST-000071,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000074,BC338,"0.8A Ic, 25V Vce, NPN Transistor, TO-92",NPN 25V 0.8A 100MHz,,NPN,Silicon,25V,30V,5V,0.8A,,,0.625W,100,600,,0.5V,1.2V,100MHz,,,EL-TST-000072,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000075,BC636,"1A Ic, 45V Vce, PNP Medium Power Transistor, TO-92",PNP 45V 1A 50MHz,,PNP,Silicon,-45V,-60V,-5V,-1A,,,0.83W,40,250,,-0.5V,,50MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_PNP_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000076,BC516,"1A Ic, 30V Vce, Darlington PNP Transistor, TO-92",PNP Darlington 30V 1A,,PNP,Silicon,-30V,-30V,-5V,-1A,,,0.625W,20000,200000,,-1.3V,,200MHz,,,EL-TST-000077,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_PNP_Darlington_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000077,BC517,"1A Ic, 30V Vce, Darlington NPN Transistor, TO-92",NPN Darlington 30V 1A,,NPN,Silicon,30V,30V,5V,1A,,,0.625W,20000,200000,,1.3V,,200MHz,,,EL-TST-000076,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_Darlington_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000078,BC413,"0.1A Ic, 30V Vce, Small Signal NPN Transistor, TO-92",NPN 30V 0.1A 150MHz,,NPN,Silicon,30V,30V,6V,0.1A,,,0.35W,240,500,,0.6V,,150MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000079,BC413B,"0.1A Ic, 30V Vce, Small Signal NPN Transistor, TO-92",NPN 30V 0.1A 150MHz,,NPN,Silicon,30V,30V,6V,0.1A,,,0.35W,240,500,,0.6V,,150MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000080,BC413C,"0.1A Ic, 30V Vce, Small Signal NPN Transistor, TO-92",NPN 30V 0.1A 150MHz,,NPN,Silicon,30V,30V,6V,0.1A,,,0.35W,450,900,,0.6V,,150MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000081,BC414,"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92",NPN 45V 0.1A 150MHz,,NPN,Silicon,45V,45V,6V,0.1A,,,0.35W,200,600,,0.6V,,150MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000082,BC414B,"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92",NPN 45V 0.1A 150MHz,,NPN,Silicon,45V,45V,6V,0.1A,,,0.35W,240,500,,0.6V,,150MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000083,BC414C,"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92",NPN 45V 0.1A 150MHz,,NPN,Silicon,45V,45V,6V,0.1A,,,0.35W,450,900,,0.6V,,150MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000084,BC546,"0.1A Ic, 65V Vce, Small Signal NPN Transistor, TO-92",NPN 65V 0.1A 150MHz,,NPN,Silicon,65V,80V,6V,0.1A,,,0.5W,110,800,,0.6V,0.9V,150MHz,,,EL-TST-000090,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000085,BC547,"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92",NPN 45V 0.1A 300MHz,,NPN,Silicon,45V,50V,6V,0.1A,,,0.5W,110,800,,0.6V,0.9V,300MHz,,,EL-TST-000091,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000086,BC548,"0.1A Ic, 30V Vce, Small Signal NPN Transistor, TO-92",NPN 30V 0.1A 300MHz,,NPN,Silicon,30V,30V,5V,0.1A,,,0.5W,110,800,,0.6V,0.9V,300MHz,,,EL-TST-000092,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000087,BC549,"0.1A Ic, 30V Vce, Small Signal NPN Transistor, TO-92",NPN 30V 0.1A 150MHz,,NPN,Silicon,30V,30V,5V,0.1A,,,0.5W,110,800,,0.6V,0.9V,150MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000088,BC550,"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92",NPN 45V 0.1A 150MHz LowNoise,,NPN,Silicon,45V,50V,5V,0.1A,,,0.5W,110,800,,0.6V,,150MHz,,,EL-TST-000095,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000089,BC556,"0.1A Ic, 65V Vce, PNP Small Signal Transistor, TO-92",PNP 65V 0.1A 150MHz,,PNP,Silicon,-65V,-80V,-5V,-0.1A,,,0.5W,100,600,,-0.65V,-0.95V,150MHz,,,EL-TST-000084,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_PNP_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000090,BC557,"0.1A Ic, 45V Vce, PNP Small Signal Transistor, TO-92",PNP 45V 0.1A 150MHz,,PNP,Silicon,-45V,-50V,-5V,-0.1A,,,0.5W,100,600,,-0.65V,-0.95V,150MHz,,,EL-TST-000085,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_PNP_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000091,BC558,"0.1A Ic, 30V Vce, PNP Small Signal Transistor, TO-92",PNP 30V 0.1A 150MHz,,PNP,Silicon,-30V,-30V,-5V,-0.1A,,,0.5W,100,600,,-0.65V,-0.95V,150MHz,,,EL-TST-000086,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_PNP_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000092,BC559,"0.1A Ic, 30V Vce, PNP Small Signal Transistor, TO-92",PNP 30V 0.1A 150MHz,,PNP,Silicon,-30V,-30V,-5V,-0.1A,,,0.5W,100,600,,-0.65V,,150MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_PNP_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000093,BC560,"0.1A Ic, 45V Vce, PNP Small Signal Transistor, TO-92",PNP 45V 0.1A 150MHz LowNoise,,PNP,Silicon,-45V,-50V,-5V,-0.1A,,,0.5W,100,600,,-0.65V,,150MHz,,,EL-TST-000088,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_PNP_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000094,BC846,"0.1A Ic, 65V Vce, NPN Transistor, SOT-23",NPN 65V 0.1A 100MHz,,NPN,Silicon,65V,80V,6V,0.1A,,,0.25W,110,450,,0.6V,0.85V,100MHz,,,EL-TST-000100,SOT-23,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_NPN_BEC,MyLib_Package_TO_SOT_SMD:SOT-23,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000095,BC847,"0.1A Ic, 45V Vce, NPN Transistor, SOT-23",NPN 45V 0.1A 100MHz,,NPN,Silicon,45V,50V,6V,0.1A,,,0.25W,110,800,,0.6V,0.85V,100MHz,,,EL-TST-000101,SOT-23,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_NPN_BEC,MyLib_Package_TO_SOT_SMD:SOT-23,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000096,BC847W,"0.1A Ic, 45V Vce, NPN Transistor, SOT-323",NPN 45V 0.1A 100MHz,,NPN,Silicon,45V,50V,6V,0.1A,,,0.2W,110,800,,0.6V,,100MHz,,,EL-TST-000102,SOT-323,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_NPN_BEC,MyLib_Package_TO_SOT_SMD:SOT-323_SC-70,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000097,BC848,"0.1A Ic, 30V Vce, NPN Transistor, SOT-23",NPN 30V 0.1A 100MHz,,NPN,Silicon,30V,30V,5V,0.1A,,,0.25W,110,800,,0.6V,0.85V,100MHz,,,EL-TST-000103,SOT-23,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_NPN_BEC,MyLib_Package_TO_SOT_SMD:SOT-23,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000098,BC848W,"0.1A Ic, 30V Vce, NPN Transistor, SOT-323",NPN 30V 0.1A 100MHz,,NPN,Silicon,30V,30V,5V,0.1A,,,0.2W,110,800,,0.6V,,100MHz,,,,SOT-323,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_NPN_BEC,MyLib_Package_TO_SOT_SMD:SOT-323_SC-70,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000099,BC849,"0.1A Ic, 30V Vce, NPN Transistor, SOT-23",NPN 30V 0.1A 100MHz,,NPN,Silicon,30V,30V,5V,0.1A,,,0.25W,110,800,,0.6V,,100MHz,,,,SOT-23,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_NPN_BEC,MyLib_Package_TO_SOT_SMD:SOT-23,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000100,BC849W,"0.1A Ic, 30V Vce, NPN Transistor, SOT-323",NPN 30V 0.1A 100MHz,,NPN,Silicon,30V,30V,5V,0.1A,,,0.2W,110,800,,0.6V,,100MHz,,,,SOT-323,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_NPN_BEC,MyLib_Package_TO_SOT_SMD:SOT-323_SC-70,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000101,BC850,"0.1A Ic, 45V Vce, NPN Transistor, SOT-23",NPN 45V 0.1A 100MHz LowNoise,,NPN,Silicon,45V,50V,5V,0.1A,,,0.25W,200,800,,0.6V,,100MHz,,,EL-TST-000107,SOT-23,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_NPN_BEC,MyLib_Package_TO_SOT_SMD:SOT-23,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000102,BC850W,"0.1A Ic, 45V Vce, NPN Transistor, SOT-323",NPN 45V 0.1A 100MHz LowNoise,,NPN,Silicon,45V,50V,5V,0.1A,,,0.2W,200,800,,0.6V,,100MHz,,,,SOT-323,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_NPN_BEC,MyLib_Package_TO_SOT_SMD:SOT-323_SC-70,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000103,BC856,"0.1A Ic, 65V Vce, PNP Transistor, SOT-23",PNP 65V 0.1A 100MHz,,PNP,Silicon,-65V,-80V,-5V,-0.1A,,,0.25W,110,450,,-0.6V,-0.85V,100MHz,,,EL-TST-000094,SOT-23,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_PNP_BEC,MyLib_Package_TO_SOT_SMD:SOT-23,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000104,BC856W,"0.1A Ic, 65V Vce, PNP Transistor, SOT-323",PNP 65V 0.1A 100MHz,,PNP,Silicon,-65V,-80V,-5V,-0.1A,,,0.2W,110,450,,-0.6V,,100MHz,,,,SOT-323,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_PNP_BEC,MyLib_Package_TO_SOT_SMD:SOT-323_SC-70,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000105,BC857,"0.1A Ic, 45V Vce, PNP Transistor, SOT-23",PNP 45V 0.1A 100MHz,,PNP,Silicon,-45V,-50V,-5V,-0.1A,,,0.25W,110,800,,-0.6V,-0.85V,100MHz,,,EL-TST-000095,SOT-23,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_PNP_BEC,MyLib_Package_TO_SOT_SMD:SOT-23,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000106,BC857W,"0.1A Ic, 45V Vce, PNP Small Signal Transistor, SOT-323",PNP 45V 0.1A 100MHz,,PNP,Silicon,-45V,-50V,-5V,-0.1A,,,0.2W,110,800,,-0.6V,,100MHz,,,,SOT-323,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_PNP_BEC,MyLib_Package_TO_SOT_SMD:SOT-323_SC-70,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000107,BC858,"0.1A Ic, 30V Vce, PNP Transistor, SOT-23",PNP 30V 0.1A 100MHz,,PNP,Silicon,-30V,-30V,-5V,-0.1A,,,0.25W,110,800,,-0.6V,-0.85V,100MHz,,,EL-TST-000097,SOT-23,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_PNP_BEC,MyLib_Package_TO_SOT_SMD:SOT-23,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000108,BC858W,"0.1A Ic, 30V Vce, PNP Small Signal Transistor, SOT-323",PNP 30V 0.1A 100MHz,,PNP,Silicon,-30V,-30V,-5V,-0.1A,,,0.2W,110,800,,-0.6V,,100MHz,,,,SOT-323,,,SMD,-55°C,150°C,,,MyLib_Transistor:Q_PNP_BEC,MyLib_Package_TO_SOT_SMD:SOT-323_SC-70,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
